UniqueCount	AmbigCount
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
4	8
3	0
6	0
6	0
0	0
0	0
0	2
0	4
0	4
3	11
0	11
0	11
1	5
5	4
0	17
0	1
0	13
14	0
0	9
15	0
0	23
0	21
4	13
0	9
0	5
4	13
0	12
0	18
0	18
14	4
3	8
0	8
7	14
0	24
0	12
0	12
7	21
0	15
4	10
0	11
0	9
0	28
0	19
6	8
11	0
35	16
0	14
0	32
0	2
0	2
8	5
0	12
0	12
12	3
0	5
0	9
0	8
0	4
0	4
1	1
0	12
0	24
0	28
0	14
5	19
12	0
1	2
0	2
8	9
0	5
1	11
0	11
0	2
6	5
2	4
0	4
0	11
0	12
0	12
0	5
0	4
5	19
0	9
0	9
4	13
0	9
4	0
0	11
0	9
1	6
3	0
6	3
0	2
9	17
3	6
4	10
0	11
7	8
3	8
0	8
1	10
2	10
0	8
3	17
0	8
3	0
4	17
0	12
0	9
9	3
0	19
0	13
4	12
2	8
4	5
0	0
0	0
0	0
0	0
8	0
1	0
0	7
0	7
7	0
0	0
0	0
5	0
0	0
9	0
0	3
0	3
3	0
4	0
0	7
0	7
0	0
0	0
19	0
4	0
3	0
28	0
7	0
3	0
0	0
8	0
0	2
0	2
6	0
0	0
7	0
17	0
0	0
0	0
12	0
3	0
20	0
0	0
0	0
0	1
0	1
0	6
0	6
4	0
8	5
0	5
13	4
0	4
37	0
12	3
11	0
7	0
3	8
20	2
5	7
10	0
4	22
0	33
0	10
4	7
0	33
0	55
0	55
19	3
0	7
28	11
0	9
42	0
0	7
8	5
3	7
15	79
13	64
0	5
2	6
42	1
106	13
0	36
0	35
0	46
0	49
0	48
0	27
0	16
0	0
0	18
3	12
0	12
0	16
5	54
0	27
41	13
0	21
14	7
0	5
0	21
3	16
0	16
0	10
0	10
0	13
0	5
0	13
0	13
9	2
0	56
0	56
6	56
3	0
1	4
0	4
52	1
0	1
36	90
0	53
18	11
0	11
38	20
0	20
0	16
45	7
0	16
3	9
0	15
32	87
28	13
0	59
0	56
0	28
0	49
6	1
0	89
0	85
5	1
0	180
0	92
5	31
0	23
0	30
0	4
0	4
2	9
11	1
3	7
0	7
1	6
11	3
42	11
14	10
12	6
32	0
12	11
0	11
28	3
6	0
69	0
25	14
7	18
25	2
11	0
6	4
0	16
0	16
6	18
0	18
20	0
11	278
0	31
0	29
0	31
0	29
0	29
0	29
0	12
0	9
0	9
0	22
39	19
0	19
0	5
3	68
0	68
56	117
10	73
0	56
13	5
8	0
1	0
11	0
8	0
0	7
3	7
7	129
