UniqueCount	AmbigCount
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	3
0	3
0	0
0	0
1	7
0	0
1	6
1	0
0	6
0	6
0	0
0	6
0	6
0	5
0	0
0	0
10	2
9	2
0	7
4	9
1	8
6	10
0	32
16	0
4	22
0	22
2	12
1	3
0	3
13	1
0	0
0	10
0	10
9	0
0	3
0	3
3	11
0	9
5	10
0	10
11	20
0	20
25	0
2	17
0	9
0	35
0	12
18	1
10	0
70	6
0	3
0	24
0	12
0	12
5	8
1	18
0	18
8	5
19	2
0	27
2	8
0	14
0	14
0	1
0	0
0	9
3	42
0	3
12	10
1	0
2	8
0	8
2	1
0	1
5	5
0	5
0	0
2	1
0	6
0	6
4	5
0	2
0	2
0	2
2	2
0	7
0	25
0	25
19	4
0	32
0	0
0	6
0	6
1	1
6	0
0	8
0	7
0	27
0	1
0	3
0	6
16	6
2	16
0	16
0	0
1	8
0	0
0	12
1	1
10	0
1	4
0	0
0	0
4	0
0	8
0	6
0	2
1	7
7	0
0	0
0	0
0	3
0	3
6	0
0	0
0	15
0	15
1	4
0	4
0	4
4	0
10	0
1	1
0	3
0	3
3	0
3	0
0	0
0	0
0	0
0	0
5	0
1	0
22	0
109	0
10	0
7	0
0	0
1	0
0	3
0	3
9	0
13	0
3	0
0	0
2	0
12	0
10	0
3	0
3	0
0	2
0	2
0	4
0	4
0	0
0	0
1	0
0	3
0	3
33	15
0	15
34	1
3	0
6	0
4	0
16	1
23	0
13	7
21	0
19	16
0	23
0	9
9	9
0	23
0	63
5	63
13	0
0	4
25	4
0	4
26	20
6	5
0	2
9	5
13	25
10	13
0	0
17	4
67	6
92	18
0	38
0	38
3	39
0	42
0	58
0	16
0	13
0	1
0	12
0	2
0	9
0	13
7	59
0	16
77	17
0	39
2	0
5	0
0	39
2	16
0	16
0	8
0	8
0	8
0	3
0	8
0	8
25	0
0	10
0	10
0	10
8	9
12	14
0	10
35	16
0	16
19	48
0	18
3	14
0	14
14	37
0	37
1	33
77	33
0	33
8	0
0	28
14	121
43	37
2	58
0	36
0	63
0	30
3	5
0	61
9	61
1	0
5	193
0	78
6	34
0	28
0	34
0	3
0	3
0	21
12	17
0	0
0	0
1	0
1	5
20	0
28	2
20	0
24	0
6	29
0	29
22	13
8	0
48	0
1	0
9	3
13	0
8	1
39	6
1	16
0	16
0	22
0	19
9	0
15	247
0	37
0	28
0	37
0	28
0	29
0	28
0	27
0	9
0	9
0	36
60	30
0	30
1	13
0	70
0	70
40	91
2	70
0	31
8	0
4	0
0	0
16	0
1	0
0	11
0	11
3	128
