UniqueCount	AmbigCount
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
8	19
0	19
0	8
0	8
16	0
0	0
2	1
1	0
0	3
0	3
0	0
0	19
0	19
0	2
0	0
0	0
4	5
16	0
0	3
1	28
2	15
2	18
0	10
11	0
0	16
0	16
30	62
0	16
0	15
79	26
0	10
0	8
0	8
3	1
0	4
0	4
12	2
0	9
0	21
0	20
1	26
0	9
36	11
0	3
0	2
0	22
0	2
6	15
2	0
34	17
0	7
0	133
0	0
0	0
16	8
0	12
0	12
13	34
0	5
0	87
0	15
0	16
0	16
13	36
0	12
0	9
3	21
0	7
44	61
5	0
0	20
0	20
6	41
0	41
7	10
0	10
0	0
1	0
0	20
0	20
3	2
0	3
0	3
6	5
0	0
3	3
2	83
0	83
1	4
0	10
0	0
0	1
0	1
16	9
0	3
0	18
0	4
10	3
3	13
2	0
0	0
10	2
0	5
0	5
1	11
0	3
0	2
14	2
1	15
0	0
7	16
0	6
0	6
16	0
1	25
0	18
0	16
10	0
29	10
0	0
0	0
0	2
0	2
0	0
6	0
0	6
0	6
28	5
0	5
0	5
0	0
1	0
6	0
0	2
0	2
1	0
8	0
0	0
0	0
0	0
0	0
11	0
2	0
32	0
38	0
8	0
19	0
0	0
20	0
0	4
0	4
28	0
27	1
0	1
4	0
0	0
8	0
8	0
12	0
4	0
0	11
0	11
0	8
0	8
0	0
0	0
5	0
0	0
0	0
64	27
0	27
20	0
2	0
3	0
8	0
0	0
14	1
13	2
4	0
1	2
0	21
0	5
5	5
0	21
0	6
1	6
2	0
0	2
19	3
0	3
10	2
0	1
0	1
12	1
28	14
1	7
0	2
10	5
9	0
18	3
0	4
0	4
0	35
0	37
0	35
0	9
0	0
0	6
0	12
0	1
0	12
0	0
18	43
0	9
204	8
0	28
4	1
1	0
0	28
0	1
0	1
0	5
0	5
0	14
0	10
0	14
0	14
4	0
0	11
0	11
0	11
0	10
0	8
0	7
79	26
0	26
19	13
0	3
5	2
0	2
13	17
0	14
27	31
79	31
0	30
10	0
0	16
16	261
56	95
0	47
0	43
0	214
0	40
1	0
0	97
15	97
2	0
1	119
0	38
21	34
0	25
0	34
0	0
0	0
0	1
2	1
0	2
0	2
2	0
1	0
6	0
4	6
11	0
3	0
0	3
0	3
2	1
2	0
40	0
0	3
1	4
4	0
7	1
1	1
7	12
0	12
1	2
0	2
17	0
5	154
0	24
0	17
0	24
0	17
0	22
0	17
0	12
0	0
0	0
0	24
11	4
0	4
0	9
0	20
0	20
49	71
42	73
0	17
8	0
9	0
3	0
15	0
2	0
0	3
0	3
1	33
