UniqueCount	AmbigCount
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	6
0	6
1	1
0	1
0	0
1	0
1	0
0	0
0	3
0	3
0	3
0	48
0	48
0	0
1	0
0	0
1	1
0	0
0	1
1	9
0	1
12	15
0	5
0	0
0	2
0	2
12	20
2	4
0	4
49	19
0	5
0	3
0	3
6	0
4	2
0	2
5	1
0	3
5	13
0	11
9	8
0	2
25	6
1	5
0	5
0	11
0	1
2	0
0	1
27	11
0	18
1	95
0	2
0	2
2	4
5	19
0	19
5	6
0	1
1	34
2	1
1	10
0	10
9	14
0	6
0	3
6	10
0	18
13	53
1	1
2	4
0	4
4	13
0	8
0	1
0	1
0	3
0	0
0	48
0	48
0	0
0	1
0	1
5	0
0	0
9	2
3	24
0	24
2	0
0	5
1	0
0	2
0	2
3	7
0	0
2	13
0	0
0	3
0	0
0	2
0	2
4	2
0	1
0	1
1	6
0	1
0	1
1	1
0	0
0	1
2	5
0	8
0	3
0	3
1	21
0	14
0	0
0	0
18	3
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
14	8
0	9
0	9
0	0
0	0
1	1
0	1
0	1
3	0
1	0
0	0
0	0
0	0
0	0
7	0
7	0
36	0
7	0
10	0
3	0
2	0
9	0
1	6
0	6
15	0
9	0
2	0
1	0
2	0
8	0
0	0
3	0
4	0
0	0
1	0
0	15
0	15
0	1
0	1
0	0
0	0
0	0
17	21
0	21
4	0
9	0
6	0
7	0
3	0
1	0
1	0
7	0
0	2
0	4
0	1
5	1
0	4
0	10
0	10
9	0
0	0
14	4
0	4
10	2
0	0
1	0
4	0
22	31
5	14
0	0
3	1
6	1
14	2
0	2
0	2
0	14
0	14
0	27
0	5
0	3
0	1
0	14
2	3
0	8
0	3
0	28
0	5
147	3
1	11
0	0
0	1
0	11
2	1
0	1
0	7
0	7
0	0
0	0
0	0
0	0
1	0
0	10
0	10
5	10
1	0
6	5
0	5
96	14
0	14
2	19
0	11
0	1
0	1
10	14
0	11
7	59
171	58
0	59
11	1
0	48
4	139
8	58
0	22
0	14
0	117
0	14
6	6
0	69
7	69
1	0
6	107
0	40
8	14
0	6
0	14
0	0
0	0
0	0
1	2
1	2
0	2
3	0
1	0
2	0
2	0
4	0
10	0
2	2
0	2
2	1
15	0
37	0
3	0
1	1
7	0
12	5
2	0
0	1
0	1
3	0
0	0
0	0
1	65
0	21
0	7
0	19
0	9
0	13
0	7
0	19
0	0
0	0
0	21
27	6
0	6
0	15
0	36
0	36
30	36
10	38
0	15
2	0
2	0
0	0
6	0
4	0
0	3
0	3
3	16
