UniqueCount	AmbigCount
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
4	5
0	5
0	2
0	2
1	0
1	0
7	0
0	0
0	2
0	2
0	1
0	64
0	64
0	6
0	0
0	0
0	3
7	0
0	4
8	3
0	1
20	11
0	8
7	1
0	3
0	1
34	62
3	12
0	12
63	44
0	17
0	8
0	8
17	0
6	3
0	3
14	0
0	12
0	29
0	29
13	16
0	4
21	3
4	2
0	2
0	8
0	2
10	4
0	0
73	22
0	7
0	170
0	0
0	0
9	0
3	36
0	34
17	15
5	0
1	52
1	1
1	10
0	10
14	27
0	17
0	12
12	8
0	7
52	62
3	0
7	5
0	5
27	35
0	20
0	3
0	3
0	1
0	0
7	64
0	64
0	6
0	0
0	0
0	3
0	0
10	4
0	51
0	51
0	0
0	8
8	1
0	7
0	7
12	4
3	0
2	27
0	0
3	0
15	0
4	2
2	0
0	5
3	2
0	2
4	3
0	2
0	2
12	0
4	4
1	0
5	20
0	11
0	6
0	0
0	54
0	30
1	0
3	0
29	0
0	0
0	0
0	0
0	0
0	0
5	0
0	0
0	0
14	6
0	7
0	7
0	0
0	0
0	0
0	0
0	0
9	0
1	0
0	0
0	0
0	0
0	0
28	5
5	5
58	0
12	0
15	0
5	0
11	0
10	0
4	9
0	9
49	0
11	1
10	1
0	0
6	0
8	0
0	0
27	0
1	0
0	0
0	0
0	5
0	5
0	4
0	4
0	0
0	2
0	2
62	31
0	31
19	0
2	0
2	0
18	0
3	2
15	0
2	0
2	0
1	0
0	18
0	4
2	4
0	18
0	34
0	34
7	0
0	0
16	0
0	0
34	6
0	0
0	0
17	0
40	65
7	37
0	0
6	0
16	0
16	1
0	7
0	7
4	23
0	24
0	51
0	4
0	0
0	0
0	28
0	8
0	14
0	0
0	55
0	4
209	5
0	11
0	0
2	4
0	11
0	2
0	2
0	7
0	7
0	1
0	0
0	1
0	1
2	1
0	4
0	4
1	4
4	0
14	10
0	10
168	13
0	13
21	36
0	16
19	13
0	13
13	10
0	2
27	109
306	109
0	109
6	0
0	87
8	253
42	103
0	28
0	24
0	225
0	17
0	0
0	127
16	126
6	0
5	204
0	64
6	30
0	22
0	30
0	0
0	0
2	7
7	0
1	4
0	4
3	0
4	0
4	5
3	1
6	0
5	0
4	6
0	3
8	3
16	0
50	1
0	0
11	1
10	0
12	1
1	0
0	7
0	7
0	4
0	3
1	0
0	91
0	41
0	10
0	33
0	16
0	19
0	8
0	40
0	0
0	0
0	41
50	14
0	14
0	46
2	63
0	68
88	82
39	79
0	16
3	0
9	0
0	0
13	0
16	0
0	9
0	9
5	29
