UniqueCount	AmbigCount
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
7	2
0	2
0	7
0	7
3	0
0	0
0	0
0	0
0	1
0	1
0	3
0	64
0	65
1	0
3	0
0	0
3	5
2	3
0	4
7	5
0	11
7	12
0	11
2	0
1	9
0	8
24	31
2	22
0	18
63	64
0	23
0	6
0	6
7	1
2	4
0	4
4	2
0	18
2	36
0	36
13	29
0	13
55	10
1	5
0	5
1	17
0	2
8	1
0	0
73	24
0	7
4	93
0	3
0	3
5	9
2	21
0	21
9	24
2	4
0	53
0	6
0	17
0	17
3	19
0	31
0	18
4	16
0	7
29	71
1	1
2	14
0	11
9	23
0	19
4	9
0	9
0	3
1	0
0	64
0	65
1	0
0	1
0	1
0	4
0	3
6	5
0	55
0	55
2	5
0	11
6	0
0	19
0	19
10	6
4	3
11	42
0	9
3	2
2	1
1	5
3	13
7	2
2	10
0	10
6	10
0	11
0	11
3	2
0	1
3	0
8	16
1	6
0	6
2	7
0	25
0	19
4	2
2	0
38	6
0	4
0	4
0	0
0	0
2	0
7	0
0	0
0	0
22	12
0	12
0	12
0	0
0	0
0	0
0	3
1	3
8	0
2	0
0	0
0	0
0	7
0	7
10	0
2	3
87	0
38	0
17	0
9	0
5	0
15	0
5	4
0	4
23	0
11	0
11	0
4	0
5	0
11	0
4	0
8	0
0	0
0	3
0	3
0	8
0	8
0	3
0	3
2	0
0	6
0	6
45	57
0	57
28	0
1	0
7	0
8	0
9	0
25	0
8	0
9	0
7	25
0	28
0	5
1	2
0	28
0	29
0	29
8	0
0	1
12	8
0	8
10	0
0	4
0	4
6	4
36	75
4	24
0	0
9	2
34	2
71	10
0	12
0	12
2	47
0	50
0	65
0	13
0	4
1	2
0	35
1	12
0	19
0	4
2	72
0	13
189	18
0	33
3	0
3	5
0	33
1	21
0	21
0	5
0	5
0	16
0	4
0	12
0	15
17	0
0	35
0	35
6	35
8	1
12	16
0	16
103	11
1	11
9	61
0	23
17	9
0	9
19	36
0	31
12	50
170	37
0	49
23	7
0	45
34	227
42	74
5	58
0	50
0	169
0	43
9	4
0	66
10	66
10	2
7	168
0	71
26	78
0	54
0	74
0	7
6	7
9	10
5	14
9	4
0	4
7	1
18	7
7	1
12	1
27	0
16	0
3	11
0	11
12	2
14	0
41	0
12	4
5	9
9	0
10	0
16	2
0	6
0	6
0	3
0	3
3	0
12	181
0	32
0	14
0	31
0	14
0	19
0	13
0	24
0	4
0	4
0	28
41	12
0	12
0	24
0	83
0	85
62	100
45	58
0	23
9	0
2	0
1	0
13	0
13	0
0	9
0	9
3	111
